team,season,wins,losses,pace,ortg,drtg,net_rating,srs,threepar,ftr,ft_fga,games,win_pct,spacing_index
Memphis Grizzlies,2019,33.0,49.0,96.6,106.1,108.8,-2.7,-2.08,0.342,0.272,0.21,82.0,0.4024390243902439,0.07
Miami Heat,2019,39.0,43.0,98.2,107.3,107.6,-0.3,-0.45,0.368,0.247,0.172,82.0,0.47560975609756095,0.121
Milwaukee Bucks*,2019,60.0,22.0,103.3,113.8,105.2,8.6,8.04,0.419,0.255,0.197,82.0,0.7317073170731707,0.16399999999999998
Minnesota Timberwolves,2019,36.0,46.0,100.2,111.4,112.9,-1.5,-1.02,0.315,0.267,0.21,82.0,0.43902439024390244,0.04799999999999999
New Orleans Pelicans,2019,33.0,49.0,103.3,111.4,112.6,-1.2,-1.1,0.324,0.254,0.193,82.0,0.4024390243902439,0.07
New York Knicks,2019,17.0,65.0,99.6,104.5,113.7,-9.2,-8.93,0.334,0.27,0.205,82.0,0.2073170731707317,0.064
Oklahoma City Thunder*,2019,49.0,33.0,102.8,110.3,107.0,3.3,3.56,0.347,0.266,0.19,82.0,0.5975609756097561,0.08099999999999996
Orlando Magic*,2019,42.0,40.0,98.1,108.9,108.1,0.8,0.28,0.36,0.216,0.168,82.0,0.5121951219512195,0.144
Philadelphia 76ers*,2019,51.0,31.0,101.6,112.6,110.0,2.6,2.25,0.342,0.312,0.241,82.0,0.6219512195121951,0.030000000000000027
Phoenix Suns,2019,19.0,63.0,100.5,105.9,115.1,-9.2,-8.61,0.335,0.259,0.202,82.0,0.23170731707317074,0.07600000000000001
Portland Trail Blazers*,2019,53.0,29.0,99.1,114.7,110.5,4.2,4.43,0.339,0.258,0.21,82.0,0.6463414634146342,0.08100000000000002
Sacramento Kings,2019,39.0,43.0,103.1,110.4,111.5,-1.1,-0.81,0.321,0.244,0.177,82.0,0.47560975609756095,0.07700000000000001
San Antonio Spurs*,2019,48.0,34.0,98.3,112.9,111.2,1.7,1.8,0.286,0.237,0.194,82.0,0.5853658536585366,0.04899999999999999
Toronto Raptors*,2019,58.0,24.0,100.2,113.1,107.1,6.0,5.49,0.379,0.247,0.198,82.0,0.7073170731707317,0.132
Utah Jazz*,2019,50.0,32.0,100.3,110.9,105.7,5.2,5.28,0.394,0.295,0.217,82.0,0.6097560975609756,0.09900000000000003
Washington Wizards,2019,32.0,50.0,101.4,111.1,113.9,-2.8,-3.3,0.37,0.266,0.204,82.0,0.3902439024390244,0.10399999999999998
Atlanta Hawks,2020,20.0,47.0,103.0,107.2,114.8,-7.6,-7.71,0.398,0.258,0.204,67.0,0.29850746268656714,0.14
Boston Celtics*,2020,48.0,24.0,99.5,113.3,107.0,6.3,5.83,0.386,0.259,0.207,72.0,0.6666666666666666,0.127
Brooklyn Nets*,2020,35.0,37.0,101.4,108.9,109.5,-0.6,-1.01,0.423,0.267,0.199,72.0,0.4861111111111111,0.15599999999999997
Charlotte Hornets,2020,23.0,42.0,95.8,106.3,113.3,-7.0,-7.03,0.399,0.252,0.188,65.0,0.35384615384615387,0.14700000000000002
Chicago Bulls,2020,22.0,43.0,99.7,106.7,109.8,-3.1,-4.0,0.396,0.231,0.175,65.0,0.3384615384615385,0.165
Cleveland Cavaliers,2020,19.0,46.0,98.7,107.5,115.4,-7.9,-7.77,0.362,0.227,0.172,65.0,0.2923076923076923,0.13499999999999998
Dallas Mavericks*,2020,43.0,32.0,99.3,116.7,111.7,5.0,4.87,0.457,0.264,0.206,75.0,0.5733333333333334,0.193
Denver Nuggets*,2020,46.0,27.0,97.1,113.1,111.0,2.1,2.35,0.344,0.235,0.183,73.0,0.6301369863013698,0.10899999999999999
Detroit Pistons,2020,20.0,46.0,97.6,109.0,112.7,-3.7,-4.38,0.381,0.261,0.194,66.0,0.30303030303030304,0.12
Golden State Warriors,2020,15.0,50.0,100.3,105.2,113.8,-8.6,-8.12,0.355,0.264,0.212,65.0,0.23076923076923078,0.09099999999999997
Houston Rockets*,2020,44.0,28.0,103.7,112.9,110.1,2.8,3.13,0.501,0.288,0.228,72.0,0.6111111111111112,0.21300000000000002
